Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
Keskvalitsus,Haridus- ja Teadusministeerium,70009646,Eesti Merekool,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,70009741,Põlva Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Haridus- ja Teadusministeerium,70009758,Hiiumaa Gümnaasium,hallatavad riigiasutused,
Keskvalitsus,Kaitseministeerium,70009764,Riigi Kaitseinvesteeringute Keskus,riigi ametiasutused,
Keskvalitsus,Sotsiaalministeerium,70009770,Tervise ja Heaolu Infosüsteemide Keskus,hallatavad riigiasutused,
Keskvalitsus,Justiits- ja Digiministeerium,74000027,Eesti Advokatuur,avalik-õiguslikud asutused,
Keskvalitsus,Kultuuriministeerium,74000033,Rahvusooper Estonia,avalik-õiguslikud asutused,
Keskvalitsus,Rahandusministeerium,74000047,Tagatisfond,avalik-õiguslikud asutused,
Sotsiaalkindlustusfondid,Sotsiaalministeerium,74000085,Eesti Töötukassa,avalik-õiguslikud asutused,
Sotsiaalkindlustusfondid,Sotsiaalministeerium,74000091,Tervisekassa,avalik-õiguslikud asutused,
Keskvalitsus,Haridus- ja Teadusministeerium,74000122,Tallinna Ülikool,avalik-õiguslikud asutused,
Keskvalitsus,Kultuuriministeerium,74000139,Eesti Rahvusraamatukogu,avalik-õiguslikud asutused,
Keskvalitsus,Rahandusministeerium,74000151,Audiitorkogu,avalik-õiguslikud asutused,
Keskvalitsus,Haridus- ja Teadusministeerium,74000168,Eesti Teaduste Akadeemia,avalik-õiguslikud asutused,
Keskvalitsus,Justiits- ja Digiministeerium,74000240,Notarite Koda,avalik-õiguslikud asutused,
Keskvalitsus,Haridus- ja Teadusministeerium,74000257,Keemilise ja Bioloogilise Füüsika Instituut,avalik-õiguslikud asutused,
Keskvalitsus,Haridus- ja Teadusministeerium,74000323,Tallinna Tehnikaülikool,avalik-õiguslikud asutused,
Keskvalitsus,Haridus- ja Teadusministeerium,74000352,Eesti Teaduste Akadeemia Kirjastus,avalik-õiguslikud asutused,
