Sektor,Kõrgemal seisev asutus,Registrikood,Üksuse nimi,Üksuse liik,Muudatused
KOV,Pärnu Linnavalitsus,75013339,Tõstamaa Keskkool,valla või linna ametiasutuste hallatav asutus,
KOV,Türi Vallavalitsus,75013486,Väätsa Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Türi Vallavalitsus,75013500,Väätsa Lasteaed Paikäpp,valla või linna ametiasutuste hallatav asutus,
KOV,Lääne-Nigula Vallavalitsus,75013569,Noarootsi Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Lääneranna Vallavalitsus,75013581,Lääneranna Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Lääneranna Vallavalitsus,75013606,Lääneranna Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Rakvere Vallavalitsus,75013664,Sõmeru Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Alutaguse Vallavalitsus,75013670,Iisaku Gümnaasium,valla või linna ametiasutuste hallatav asutus,
KOV,Alutaguse Vallavalitsus,75013693,Iisaku Kunstide Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Viru-Nigula vallavalitsus,75013762,Vasta Mõisakool,valla või linna ametiasutuste hallatav asutus,
KOV,Rõuge Vallavalitsus,75013807,Misso Sotsiaalkeskus,valla või linna ametiasutuste hallatav asutus,
KOV,Põlva Vallavalitsus,75013954,Mooste Kultuurimaja,valla või linna ametiasutuste hallatav asutus,
KOV,Harku Vallavalitsus,75014149,Tabasalu Kool,valla või linna ametiasutuste hallatav asutus,
KOV,Harku Vallavalitsus,75014155,Vääna Mõisakool,valla või linna ametiasutuste hallatav asutus,
KOV,Harku Vallavalitsus,75014161,Harkujärve Põhikool,valla või linna ametiasutuste hallatav asutus,
KOV,Harku Vallavalitsus,75014178,Tabasalu Muusika- ja Kunstikool,valla või linna ametiasutus,
KOV,Harku Vallavalitsus,75014184,Tabasalu lasteaed Tibutare,valla või linna ametiasutuste hallatav asutus,
KOV,Harku Vallavalitsus,75014190,Harku Lasteaed,valla või linna ametiasutuste hallatav asutus,
KOV,Harku Vallavalitsus,75014215,Harku valla Raamatukogud,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75014221,Tallinna Kesklinna Valitsus,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75014238,Kristiine Linnaosa Valitsus,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75014244,Haabersti Linnaosa Valitsus,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75014250,Pirita Linnaosa Valitsus,valla või linna ametiasutuste hallatav asutus,
KOV,Tallinna Linnakantselei,75014267,Mustamäe Linnaosa Valitsus,valla või linna ametiasutus,
KOV,Tallinna Linnakantselei,75014289,Tallinna Haridusamet,valla või linna ametiasutus,
KOV,Pärnu Linnavalitsus,75014304,Audru Kool,valla või linna ametiasutuste hallatav asutus,
